Food,Calories,Protein,Carbs,Fat,Fiber
Chicken Breast,165,31,0,3.6,0
Egg,78,6,0.6,5,0
Paneer,265,18,1.2,20,0
Tofu,144,17,3,9,2
Milk,42,3.4,5,1,0
Rice,130,2.7,28,0.3,0.4
Brown Rice,123,2.7,25.6,1,1.8
Oats,389,16.9,66.3,6.9,10.6
Wheat Roti,120,3.1,20,1,2.7
Bread,265,9,49,3.2,2.4
Banana,89,1.1,23,0.3,2.6
Apple,52,0.3,14,0.2,2.4
Orange,47,0.9,12,0.1,2.4
Mango,60,0.8,15,0.4,1.6
Watermelon,30,0.6,8,0.2,0.4
Potato,77,2,17,0.1,2.2
Sweet Potato,86,1.6,20,0.1,3
Broccoli,34,2.8,7,0.4,2.6
Spinach,23,2.9,3.6,0.4,2.2
Carrot,41,0.9,10,0.2,2.8
Almonds,579,21,22,50,12.5
Cashews,553,18,30,44,3.3
Peanuts,567,26,16,49,8.5
Walnuts,654,15,14,65,6.7
Pistachios,562,20,28,45,10
Greek Yogurt,59,10,3.6,0.4,0
Cheese,402,25,1.3,33,0
Salmon,208,20,0,13,0
Tuna,132,28,0,1.3,0
Beef,250,26,0,15,0
